Date;Costa_Rica;Lituanie;Colombie;Grece;France;Test_à_con_pour_France;;Suede;Chili;New_Zealand;Suisse;Irlande;Autriche;Italie;Portugal;Luxembourg;Allemagne;Pologne;Tchéquie;Lettonie;EU27_2020;Arabie_Saoudite;EA19;G20;Chine;Afrique_du_sud;Indonesie;Inde;Turquie;Isreal;Belgique;Mexique;Slovaquie;USA;Pays_bas;Bresil;Finlande;Slovenie;Canada;Hongrie;Norvege;OCDE;Japon;Espagne;Danemark;Estonie;Royaume-Uni;Islande;Australie;Corée_du_sud
1978-Q3;;;;-3,179882448;-0,087958221;258548,3209;;-2,062251777;;;0,035153798;1,090713181;0,657607036;0,526216337;0,536667144;1,0318009;1,311340647;;;;;;;;;-1,07584401;;;;;0,644272881;2,237664759;;1,005517127;0,935097717;;0,436852422;;0,954509352;;1,199691934;0,902467391;1,293282486;-0,122709652;1,622225334;;1,377849789;1,142055205;1,522774393;1,859288012
1978-Q4;;;;9,64212363;0,851110816;260748,8536;;1,628870517;;;0,386555887;0,799293581;0,665147304;1,52383092;1,716846424;0,696244528;1,169104613;;;;;;;;;0,910144681;;;;;0,363560447;2,35397061;;1,344143064;1,756247277;;2,174761613;;0,87695671;;0,131752306;1,316693993;1,443061634;-0,147990953;0,198663907;;0,903984664;1,091053182;0,83987928;4,797352379
1979-Q1;;;;0,419401896;0,860055009;262991,4372;;2,064018273;;;0,725126897;0,613802032;2,316319435;1,579975193;1,063669162;0,451987485;0,123655596;;;;;;;;;1,750362876;;;;;0,360280483;2,275444904;;0,179787288;-4,905976541;;2,030235223;;0,831951715;;-0,43679404;0,586010581;1,495580739;-0,159395973;0,922835579;;-0,355860051;1,103744556;2,73296562;4,486019937
1979-Q2;;;;-0,564570712;0,955992372;265505,6152;;1,605590277;;;0,561030708;0,566558783;1,288999833;0,727095866;2,126871436;0,345323703;3,10525348;;;;;;;;;0,646030359;;;;;0,354987306;2,212040322;;0,106919831;5,824767499;;2,374966569;;1,347063852;;2,990411133;1,230634635;1,827155452;0,155449122;1,737239004;;4,397800474;1,195865755;-1,609343883;0,755831526
1979-Q3;;;;-5,363991035;1,143098761;268540,6066;;0,275914039;;;0,940531734;0,636799193;0,879435791;1,730408441;1,329439771;0,34475206;0,00000753;;;;;;;;;0,746384808;;;;;0,953921557;2,070864933;;0,742871468;0,740055504;;0,856889075;;0,691984333;;2,6071009;0,482744498;0,762663736;0,240502258;-0,667477188;;-2,232754797;1,376404142;0,93202954;-2,767723422
1979-Q4;;;;4,631253947;0,190206929;269051,3895;;0,106838671;;;1,530936659;0,743497736;1,328876082;2,353893536;2,064941605;0,35933326;0,61299334;;;;;;;;;2,052155792;;;;;1,576811915;1,918080757;;0,250075034;1,53902663;;1,196705175;;0,665624679;;0,897109378;0,679652611;0,434649;0,351518364;0,506337955;;1,039069334;1,525694765;1,941694952;-1,518757047
1980-Q1;;;;3,408557441;1,162964953;272180,3629;;3,127839726;;;1,902427391;0,803466035;1,069759922;-0,183599872;1,57446299;0,291943658;0,801235019;;;;;;;;;2,054445467;;;;;3,762455451;2,769102252;;0,314519076;-0,057878744;;1,6740043;;0,700189435;;3,881396125;0,579471772;0,38255242;0,669637966;1,530983651;;-0,952731568;1,534589831;0,439293143;0,886148261
1980-Q2;;;;-1,914814274;-0,553067306;270675,0223;;-4,767321461;;;0,358729624;0,823204992;-1,048999564;0,776049009;-0,026077098;0,151425932;-0,64380222;;;;;;;;;1,901048713;;;;;-0,666234698;0,652366114;;-2,060472164;-1,851382655;;-0,468254368;;-0,031789499;;-2,042801026;-1,055408067;-0,527155036;0,339903035;-2,548940321;;-1,996903962;1,437157604;0,256732614;-0,539530976
1980-Q3;;;;-5,248280878;-0,082263561;270452,3553;;3,796627783;;;0,459638532;0,811706142;0,521108012;0,083677275;-0,342024614;-0,063224119;-0,396722368;;;;;;;;;1,712013689;;;;;-0,97938113;2,158764803;;-0,118847117;-0,671178065;;4,987859166;;-0,114812067;;-1,801471099;0,290404708;2,239931727;-0,396523201;-1,327637339;;-0,104192715;1,246395178;0,529970037;1,892977664
1980-Q4;;;;3,933985799;-0,13110739;270097,7723;;-1,956995266;;;0,616918805;0,794660096;0,055054768;0,852303473;1,670542679;-0,250089534;-0,132760006;;;;;;;;;0,22477213;;;;;-0,20455512;2,895866373;;1,864925605;2,32044404;;-2,717548424;;1,380163092;;2,159624147;1,16376839;2,125487999;0,580015819;0,635820231;;-1,092661354;1,053250514;1,735151424;-2,765761869
